o-o,o-j1,o-j5
2024 Volvo XC90 B6 Ultimate,"62,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 63 Lakh
2023 Land Rover Discovery Sport SE R-Dynamic Petrol [2023-2024],"31,039 km  |  Mild Hybrid(Electric + Petrol)  |  Sector-17, Chandigarh",Rs. 52 Lakh
2024 Land Rover Range Rover Evoque SE R-Dynamic Petrol,"9,704 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 62 Lakh
2020 Volvo XC60 Inscription [2017-2020],"62,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 32 Lakh
2018 Ford Endeavour Titanium 3.2 4x4 AT,"1,17,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 17.5 Lakh
2018 Lexus NX 300h Luxury [2017-2020],"58,398 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 30 Lakh
2022 Volvo XC60 B5 Inscription,"31,534 km  |  Hybrid (Electric + Petrol)  |  Sector-17, Chandigarh",Rs. 43 Lakh
2017 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"39,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 26 Lakh
2023 Audi Q3 40 TFSI Premium Plus,"32,882 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 34 Lakh
2021 Honda City VX,"85,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 9.31 Lakh
2024 BMW i7 eDrive50 M Sport,"4,006 km  |  Electric  |  Sector-17, Chandigarh",Rs. 1.5 Crore
2015 Land Rover Discovery SE,"60,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 16.75 Lakh
2020 Mahindra Scorpio S11 2WD 7 STR,"46,000 km  |  Diesel  |  SECTOR- 22, Chandigarh",Rs. 13.1 Lakh
2024 BMW 3 Series Gran Limousine 330Li M Sport,"15,743 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 53 Lakh
2023 BMW 5-Series 530i M Sport,"29,278 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 52 Lakh
2023 BMW 3 Series Gran Limousine 330Li M Sport [2023],"13,039 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 52 Lakh
2024 Mercedes-Benz EQA 250 Plus,"7,317 km  |  Electric  |  Sector-17, Chandigarh",Rs. 49 Lakh
2024 Volvo XC60 B5 Ultimate,"29,000 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 53 Lakh
2024 Land Rover Range Rover Velar HSE Dynamic 2.0 Petrol,"13,633 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 82 Lakh
2024 Mercedes-Benz EQA 250 Plus,"7,441 km  |  Electric  |  Sector-17, Chandigarh",Rs. 49 Lakh
2022 Mercedes-Benz A-Class Limousine 200,"23,321 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 32.5 Lakh
2021 Volvo XC40 T4 R-Design,"29,596 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 28 Lakh
2024 BMW X1 sDrive18i M Sport,"9,480 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 48 Lakh
2024 Mercedes-Benz EQA 250 Plus,"7,317 km  |  Electric  |  Sector-17, Chandigarh",Rs. 49 Lakh
2024 Volvo XC60 B5 Ultimate,"29,000 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 53 Lakh
2024 Land Rover Range Rover Velar HSE Dynamic 2.0 Petrol,"13,633 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 82 Lakh
2024 Mercedes-Benz EQA 250 Plus,"7,441 km  |  Electric  |  Sector-17, Chandigarh",Rs. 49 Lakh
2022 Mercedes-Benz A-Class Limousine 200,"23,321 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 32.5 Lakh
2024 BMW 3 Series Gran Limousine 330Li M Sport,"15,743 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 53 Lakh
2019 Mercedes-Benz CLA 200 Petrol Sport,"39,000 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 25 Lakh
2023 MG Hector Savvy Pro 1.5 Turbo Petrol CVT [2023],"10,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 18.75 Lakh
2020 Volvo S90 D4 Inscription,"35,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 35 Lakh
2023 Mini Cooper SE Charged Edition,"16,000 km  |  Electric  |  Sector 5, Chandigarh",Rs. 32 Lakh
2023 Mini Cooper SE Charged Edition,"17,400 km  |  Electric  |  Sector 5, Chandigarh",Rs. 29.99 Lakh
2021 BMW 5-Series 530i M Sport [2021-2023],"65,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 34.5 Lakh
2015 Mercedes-Benz C-Class C 220d,"95,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 13.95 Lakh
2017 Ford Endeavour Titanium 2.2 4x2 AT [2016-2018],"59,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 14.95 Lakh
2024 Volvo XC90 B6 Ultimate,"62,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 63 Lakh
2023 Land Rover Discovery Sport SE R-Dynamic Petrol [2023-2024],"31,039 km  |  Mild Hybrid(Electric + Petrol)  |  Sector-17, Chandigarh",Rs. 52 Lakh
2024 Land Rover Range Rover Evoque SE R-Dynamic Petrol,"9,704 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 62 Lakh
2020 Volvo XC60 Inscription [2017-2020],"62,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 32 Lakh
2018 Ford Endeavour Titanium 3.2 4x4 AT,"1,17,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 17.5 Lakh
2018 Lexus NX 300h Luxury [2017-2020],"58,398 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 30 Lakh
2020 Volvo XC60 Inscription [2017-2020],"62,000 km  |  Diesel  |  SECTOR- 22, Chandigarh",Rs. 32.5 Lakh
2023 Volvo XC90 B6 Ultimate [2022-2023],"62,000 km  |  Petrol  |  SECTOR- 22, Chandigarh",Rs. 63.5 Lakh
2024 BMW X7 xDrive40i M Sport,"26,296 km  |  Mild Hybrid(Electric + Petrol)  |  Sector-17, Chandigarh",Rs. 1.12 Crore
2023 BMW 3-Series xDrive [2023-2024],"9,500 km  |  Petrol  |  Sector 5, Chandigarh",Rs. 60 Lakh
2024 Mercedes-Benz GLS 450 4MATIC,"12,500 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 1.22 Crore
2022 Volvo XC40 Ultimate AWD,"48,500 km  |  Electric  |  Sector 5, Chandigarh",Rs. 29.5 Lakh
2018 Mercedes-Benz E-Class E 220 d Avantgarde,"78,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 24.5 Lakh
2015 BMW 5-Series 530d M Sport [2013-2017],"52,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 16.5 Lakh
2018 Mahindra XUV500 W9 [2018-2020],"99,500 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 7.5 Lakh
2015 Mercedes-Benz S-Class S 350 CDI,"78,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 26 Lakh
2024 Mercedes-Benz E-Class 450 4MATIC [2024-2025],"4,500 km  |  Petrol  |  Sector 5, Chandigarh",Rs. 80 Lakh
2022 Mahindra XUV700 AX 5 Petrol MT 7 STR [2021],"14,500 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 13.95 Lakh
2012 Audi A4 2.0 TDI Sline,"72,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 7.5 Lakh
2015 Mercedes-Benz C-Class C 220 CDI Style,"90,000 km  |  Diesel  |  SECTOR- 22, Chandigarh",Rs. 15.95 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT,"30,000 km  |  Petrol  |  SECTOR- 22, Chandigarh",Rs. 12 Lakh
2024 Nissan X-Trail Mild Hybrid CVT,"1 km  |  Petrol  |  Sector 5, Chandigarh",Rs. 29.5 Lakh
2020 Ford Endeavour Titanium Plus 2.0 4x2 AT,"95,000 km  |  Diesel  |  SECTOR- 22, Chandigarh",Rs. 24.95 Lakh
2022 Mahindra Thar LX Convertible Top Diesel AT 4WD,"29,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 14.75 Lakh
2021 Hyundai Alcazar Signature (O) 7 Seater 1.5 Diesel AT,"1,00,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 13.5 Lakh
2023 Mercedes-Benz E-Class E 220 d Avantgarde,"22,100 km  |  Diesel  |  Sector 5, Chandigarh",Rs. 53 Lakh
2016 Renault Duster 85 PS RXS 4X2 MT Diesel,"95,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 4.25 Lakh
2020 Volvo XC60 Inscription [2017-2020],"80,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 28.5 Lakh
2020 Mahindra Scorpio S11 2WD 7 STR,"46,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 13 Lakh
2019 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],"55,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 5.95 Lakh
